"animal","date","assay","amount","dpi"
"rhbd23",2020-02-07,"Lanciotti_ZIKV_universal",3016.6667,2
"rhbd23",2020-02-08,"Lanciotti_ZIKV_universal",89722.22,3
"rhbd23",2020-02-09,"Lanciotti_ZIKV_universal",44090.91,4
"rhbd23",2020-02-10,"Lanciotti_ZIKV_universal",1629.8246,5
"rhbd23",2020-02-11,"Lanciotti_ZIKV_universal",2558.3333,6
"rhbd23",2020-02-14,"Lanciotti_ZIKV_universal",0,9
"rhbd23",2020-02-17,"Lanciotti_ZIKV_universal",0,12
"rhbd23",2020-02-21,"Lanciotti_ZIKV_universal",0,16
"rhbd23",2020-02-27,"Lanciotti_ZIKV_universal",0,22
"rhbd23",2020-03-05,"Lanciotti_ZIKV_universal",0,29
"rhbd23",2020-03-09,"Lanciotti_ZIKV_universal",0,33
"rhbd87",2020-01-16,"Lanciotti_ZIKV_universal",0,0
"rhbd87",2020-01-19,"Lanciotti_ZIKV_universal",32166.666,3
"rhbd87",2020-01-21,"Lanciotti_ZIKV_universal",4008.3333,5
"rhbd87",2020-01-22,"Lanciotti_ZIKV_universal",595,6
"rhbd87",2020-01-23,"Lanciotti_ZIKV_universal",1503.3334,7
"rhbd87",2020-01-30,"Lanciotti_ZIKV_universal",1780.5555,14
"rhbd87",2020-01-31,"Lanciotti_ZIKV_universal",0,15
"rhbd87",2020-02-14,"Lanciotti_ZIKV_universal",0,29
"rhbd87",2020-03-13,"Lanciotti_ZIKV_universal",0,57
"rhbe47",2019-12-11,"Lanciotti_ZIKV_universal",0,0
"rhbe47",2019-12-12,"Lanciotti_ZIKV_universal",132.41667,1
"rhbe47",2019-12-13,"Lanciotti_ZIKV_universal",402.5,2
"rhbe47",2019-12-14,"Lanciotti_ZIKV_universal",2041.6666,3
"rhbe47",2019-12-15,"Lanciotti_ZIKV_universal",1213.3334,4
"rhbe47",2019-12-16,"Lanciotti_ZIKV_universal",942.5,5
"rhbe47",2019-12-17,"Lanciotti_ZIKV_universal",3150,6
"rhbe47",2019-12-18,"Lanciotti_ZIKV_universal",390,7
"rhbe47",2019-12-20,"Lanciotti_ZIKV_universal",0,9
"rhbe47",2019-12-23,"Lanciotti_ZIKV_universal",0,12
"rhbe47",2019-12-30,"Lanciotti_ZIKV_universal",0,19
"rhbe47",2020-01-02,"Lanciotti_ZIKV_universal",0,22
"rhbe47",2020-01-09,"Lanciotti_ZIKV_universal",0,29
"rhbe47",2020-01-13,"Lanciotti_ZIKV_universal",0,33
"rhbe47",2020-01-16,"Lanciotti_ZIKV_universal",0,36
"rhbe47",2020-01-23,"Lanciotti_ZIKV_universal",0,43
"rhbe47",2020-02-06,"Lanciotti_ZIKV_universal",0,57
"rhbe47",2020-02-10,"Lanciotti_ZIKV_universal",0,61
"rhbe47",2020-02-20,"Lanciotti_ZIKV_universal",0,71
"rhbe47",2020-02-27,"Lanciotti_ZIKV_universal",0,78
"rhbe47",2020-03-05,"Lanciotti_ZIKV_universal",0,85
"rhbe47",2020-03-12,"Lanciotti_ZIKV_universal",0,92
"rhbi41",2019-11-14,"Lanciotti_ZIKV_universal",28666.666,3
"rhbi41",2019-11-15,"Lanciotti_ZIKV_universal",1240.8334,4
"rhbi41",2019-11-16,"Lanciotti_ZIKV_universal",167.91667,5
"rhbi41",2019-11-17,"Lanciotti_ZIKV_universal",121.166664,6
"rhbi41",2019-11-18,"Lanciotti_ZIKV_universal",116.166664,7
"rhbi41",2019-11-21,"Lanciotti_ZIKV_universal",0,10
"rhbi41",2019-11-27,"Lanciotti_ZIKV_universal",0,16
"rhbi41",2019-11-27,"Lanciotti_ZIKV_universal",0,16
"rhbi41",2019-12-19,"Lanciotti_ZIKV_universal",0,38
"rhbi41",2020-01-09,"Lanciotti_ZIKV_universal",0,59
"rhbi41",2020-02-04,"Lanciotti_ZIKV_universal",0,85
"rhbi41",2020-02-06,"Lanciotti_ZIKV_universal",0,87
